;;;;;;;x
ROM_reactionary;Partidul National Roman;;;;;;;x
ROM_reactionary_2;Partidul Nationalist-Democrat;;;;;;;x
ROM_reactionary_3;Partidul Poporului;;;;;;;x
ROM_conservative;Partidul Conservator;;;;;;;x
ROM_conservative_2;Partidul Taranesc;;;;;;;x
ROM_conservative_3;Partidul National Taranesc;;;;;;;x
ROM_liberal;Fractionistii;;;;;;;x
ROM_liberal_2;Partidul National Liberal;;;;;;;x
ROM_anarcho_liberal;Partidul din Drepturile Omulu;;;;;;;x
ROM_socialist;Partidul Social-Democrat;;;;;;;x
ROM_communist;Partidul Comunist;;;;;;;x
ROM_fascist;Garda de Fier;;;;;;;x
POR_fascist;Movimento Nacional-Sindicalista;;;;;;;x
IRE_fascist;Chungus Lovers;;;;;;;x
IRE_communist;Communist Party of Ireland;;;;;;;x
IRE_conservative;Irish Conservative Party;;;;;;;x
AST_fascist;New Guard;;;;;;;x
SGF_ADJ;South German;;;;;;;x
alaskan;Alaskan;;;;;;;x
USA_conservative_2;Bourbon Democrats;;;;;;;x
USA_conservative_4;Democrats;;;;;;;x
YUG_fascist;ZBOR;;;;;;;x
YUG_ADJ;Yugoslav;;;;;;;x
AUS_fascist;Vaterländische Front;;;;;;;x
SWI_liberal;Freisinnig-Demokratische Partei;;;;;;;x
GCO_communist;Partido Communista;;;;;;;x
GCO_fascist;Partido Fascista;;;;;;;x
MNP;Manipur;;;;;;;x
MNP_ADJ;Manipuri;;;;;;;x
BDK_absolute_monarchy;Kunduz;;;;;;;x
BDK;Badakhshan;;;;;;;x
BDK_ADJ;Badakhshani;;;;;;;x
guajiro;Wayuu;;;;;;;x
lendu;Lendu;;;;;;;x
ruanda;Banyarwanda;;;;;;;x
kingwana;Kingwana;;;;;;;x
chokwe;Chokwe;;;;;;;x
CNG;The Congo;;;;;;;x
CNG_absolute_monarchy;The Congo Free State;;;;;;;x
CNG_prussian_constitutionalism;The Congo Free State;;;;;;;x
CNG_hms_government;The Congo Free State;;;;;;;x
CNG_presidential_dictatorship;Zaire;;;;;;;x
CNG_democracy;Republic of the Congo;;;;;;;x
CNG_liberal_2;Alliance of Bakongo;;;;;;;x
CNG_conservative_2;Congolese National Movement;;;;;;;x
CNG_socialist;African Solidarity Party;;;;;;;x
CNG_reactionary_2;Popular Movement of the Revolution;;;;;;;x
CNG_anarcho_liberal;Common Front;;;;;;;x
CNG_communist;Congolese National Union;;;;;;;x
CNG_fascist;Party of National Unity;;;;;;;x
