Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
restore_ottoman_egypt_title;Restore Ottoman rule in Egypt;;;x
restore_ottoman_egypt_desc;Egypt has broken away from us after a relatively succesful campaign of Napoleon the Great in land of the pharoes, but the time has come to get it back;;;x
magrhreb_domination_title;Domination in the Maghreb;;;x
magrhreb_domination_desc;As the sole muslim great power we should protect our brothers in faith in the Maghreb;;;x
expand_the_confederacy_title;Expand the Confederacy;;;x
expand_the_confederacy_desc;Although we have faced setbacks from the British, the time has come to once again reassert our dominion over India;;;x
recover_the_empire_title;Restore the Mughal Empire;;;x
recover_the_empire_desc;The Mughal Empire has barely recovered off of it's giant losses in the 18th century, but now we stand again as a glorious nation and we shall claim our place in the sun;;;x
force_peru_title;Incorporate Peru;;;x
force_peru_desc;Let us expand and continue the Bolivarian dream of a united Latin American republic, starting with the incorporation of Peru;;;x
force_south_america_title;United Latin American Republic!;;;x
force_south_america_desc;Bolivar's dream is so close to being achieved, finally we may stay equal to the great powers of the world as he wished;;;x
acquire_cuba_title;Acquire Cuba;;;x
acquire_cuba_desc;We should try to bargain with our spanish friend to get the Island of Cuba as it's mush closer to our border than theirs!;;;x
regno_uni_title;Regno unii;;;x
regno_uni_desc;One Empire, two nations, one objective - expansion to liberate our brothers of foreign yoke;;;x
move_capital_to_rio_title;Move capital to Rio;;;x
move_capital_to_rio_desc;We should move our capital to Rio, i heard you can meet a monke there;;;x
restore_persian_empire_title;Restore the Persian Empire;;;x
restore_persian_empire_desc;Lands ripped away from us centuries ago are ought to be returned now that we're much more powerful;;;x
restore_spanish_empire_title;Restore the Spanish Empire in Europe;;;x
restore_spanish_empire_desc;Lands ripped away from us centuries ago are ought to be returned now that we're much more powerful;;;x
revive_the_swedish_empire_title;Restore the Swedish Empire;;;x
revive_the_swedish_empire_desc;It is time for the return of a great Swedish Empire! Let us restore the legacy of Gustavus Adolphus and bring it to new heights!;;;x
repartition_poland_AUS_title;Partition Poland;;;x
repartition_poland_AUS_desc;We should repartition Poland again, they can't seem to govern themselves anyway;;;x
restore_rhineland_title;Restore the lands beyond the Rhine;;;x
restore_rhineland_desc;After the Congress of Vienna, we lost rightful German land in the Rhineland.. Thankfully, we can now amend that mistake.;;;x
unite_westfalen_title;Unite the Kingdom of Westphalia;;;x
unite_westfalen_desc;Many princedoms were given to us after the death of Napoleon the Great, the time has come to incorporate them properly into our realm;;;x
united_westfalen;Westphalia has been consolidated;;;x
unite_rhine_confederacy_title;Form the Rhine Confederacy;;;x
unite_rhine_confederacy_desc;Our dominant position in the area and favor with the French allow us to unite the German lands peacefully with a promise to coexist with our western neighbour;;;x
create_rhine_confederacy_title;Create the Rhine Confederacy;;;x
create_rhine_confederacy_desc;Years ago Napoleon the Great created the Confederation of the Rhine, and now it is our job to help them unite under a single banner as they'll surely prove to be a great ally.;;;x
assume_the_crown_of_italy_title;Assume the Crown of Italy;;;x
assume_the_crown_of_italy_desc;With Italy under our control, we can safely consider ourselves a real Kingdom of Italy.;;;x
form_two_sic_title;Form Two Sicilies;;;x
form_two_sic_desc;Our dominant position in the area allows us to call ourselves "The Kingdom of Two Sicilies";;;x
united_netherlands_title;United Netherlands;;;x
united_netherlands_desc;Our dominant position in the area allows us to call ourselves "The United Kingdom of the Netherlands";;;x
repartition_poland_title;Partition Poland;;;x
repartition_poland_desc;We should repartition Poland again, they can't seem to govern themselves anyway;;;x
greater_prussia_title;Restore what's ours;;;x
greater_prussia_desc;The proud Prussian people have endured living in a French-dominated world for too long! Now starts our rise to greatness!;;;x
repartition_poland_RUS_title;Repartition Lithuania;;;x
repartition_poland_RUS_desc;We should repartition Lithuania again, they can't seem to govern themselves anyway;;;x
conquer_finland_title;Conquer §BFinland§!;;;x
conquer_finland_desc;Acquiring Finland is of vital use to us as it protects our exposed capital.  This will lock you out of accepting other cultures.;;;x
proclaim_second_empire_title;Coronation of Napoleon III;;;x
give_up_the_cause_title;Give up the Cause;;;x
give_up_the_cause_desc;We have failed to return to our original lands, perhaps we should establish a new Kingdom and begin a new journey to glory?;;;x
napoleons_legacy_title;Napoleon's Legacy;;;x
napoleons_legacy_desc;The foolish compromises of Napoleon II have forced us to grant concessions to other European nations for the sake of peace. This great betrayal must be amended, and the Legacy of Napoleon the Great must be reborn!;;;x
the_danzig_coup_title;The Danzig Coup;;;x
the_danzig_coup_desc;The republic of Danzig is staffed with officials friendly to us, our king must merely lift his finger and an annexation bill is sure to come. Let us erase this disgusting by-product of the Napoleonic wars and return the city to its rightful owner.;;;x
create_cop_title;Create The Central Industrial Region;;;x
create_cop_desc;The Central Industrial Region was one of the biggest economic projects of the Poland. The 5-year-long project was initiated by a famous Polish economist, deputy Prime Minister and Minister of the Treasury, Eugeniusz Kwiatkowski. Its goal was to create a heavy industrial center in the middle of the country, as far as possible from any borders, strengthen the Polish economy and reduce unemployment.;;;x
take_what_is_ours_title;Retake the Indian Treaty Ports;;;x
take_what_is_ours_desc;For ages, the Indian subcontinent has been plagued by the most terrifying disease - Europeans. With our control over South Asia solidified, we can afford to consolidate our power even more - and even attempt to drive out the Foreigners.;;;x
form_celtic_union_title;Form the Celtic Union;;;x 
form_celtic_union_desc;With our brothers under $COUNTRY_ADJ$ protection, we may finally embrace the Celtic identity and unite against England.;;;x
finish_what_we_started_title;Finish What We Started!;;;x
finish_what_we_started_desc;With our nation sufficiently prepared against the English with the power of Big Chungus, now is the best time to strike. Let us liberate the people of Kernow and Manning!           ?YResearching Nationalism and Imperialism allows you to discover Manifest Destiny.?!;;;x
recover_brittany_title;Recover Brittany!;;;x
recover_brittany_desc;Brittany had endured under the French boot for hundreds of years. With our status as a formidable European power confirmed, the first step to helping the Bretons is to assert our claim on the Peninsula.;;;x
cut_down_to_size_desc;Force another ?Ycountry?W to disarm;;;x
unite_la_plata_title;Form the United Provinces of Rio de La Plata;;;x
unite_la_plata_desc;The nations which were once part of the Viceroyalty of Rio de La Plata must be reunited under a single flag once again, the platinean peoples bound together into a great nation, a power to rule in the New World, the United Provinces of Rio de La Plata.;;;x
reclaim_louisiana_title;Reclaim Louisiana!;;;x
reclaim_louisiana_desc;With the pesky Cherokee blocking our access to lands that we rightfully bought from the French, our claim on the American Frontier didn't hold much ground. With that nuisance out of the way, though, we ought to renew our claim on American land!;;;x
unite_indonesia_title;Proclaim an United Indonesia;;;x
unite_indonesia_desc;Our 'Mainland' possesions in the Lowlands are nothing more than a failed investment. With French, British, and even German eyes looking upon our land, it's time to discard our home and make a new one in the East Indies.           ?RThis will make you into Indonesia and put the Netherlands proper under an AI!?!;;;x
indonesian_philippines_title;Push our Claims on the Philippine Archipelago!;;;x
indonesian_philippines_desc;With our useless land in Europe shed, we can focus more resources and attention on Asian affairs. The most pressing of which, the Spanish colony in the Philippines, should be dealt with accordingly.;;;x
ino_phi_accept_title;Accept the Filipinos!;;;x
ino_phi_accept_desc;The Spanish colonial empire in Asia has been neutered, and the Filipino people have been liberated.;;;x
ino_liferating_for_cash_desc;A large part of our country is a poor, jungle-y, uncivilized mess. With enough funding, we can alleviate this issue.;;;x
ino_liferating_for_cash_title;Fund the Poorest Parts of Indonesia;;;x
crusade_for_canada_title;The §RCrusade for Canada§!;;;x
crusade_for_canada_desc;Our northern neighbors, the Canadians, are unjustly exploited by upstart British nobles, who ran from their home after the British Revolution. To achieve peace in the New World, this imperialism must be put to an end.;;;x
get_back_our_eastern_claim_title;Take back our Eastern Claims!;;;x
