key;key;;;x
EVTDESC10001;While Napoleon's war machine has halted, the fundamental ideas of the French Revolution are still going strong everywhere. In Germany the old crowns of the Holy Roman Empire have been wrought to naught, and the feudal contracts of old replaced by Napoleonic civil codes. Everywhere in Europe, in coffeehouses and universities, the ideas of liberalism, political reform, freedom of speech, and the rights of peoples, rather than of monarchs, are proving again the old proverb that there is no stopping an idea whose time has come. Minorities long yoked under crowns and scepters, are waking up to the realization that fate is theirs to make, and, across far away oceans, the riches of Africa and Asia beckon. As the dust settles on Waterloo, Europe stands again at the beginning of a new era: An age of Liberalism.;;;x
EVTNAME181503;Russia gives up Ukraine?!;;;x
EVTDESC181503;News have reached us that the Tsar of Russia has offered to give up the puppet state of Ukraine for us... by his own will.;;;x
EVTOPTA181503;Has he finally gone insane?;;;x
EVTNAME600001;Russian Reconstruction;;;x
EVTDESC600001;After the difficult time that followed the invasion of our glorious nation by the French, we are finally recovering!;;;x
EVTNAME600002;Russian Reconstruction;;;x
EVTDESC600002;After the difficult time that followed the invasion of our glorious nation by the French, we are finally recovering!;;;x
EVTNAME600003;The reform of Poniatowski!;;;x
EVTDESC600003;With the new reform of Napoleon Poniatowski, the Polish people will get even more access to education, enabling them to go to school and join universities;;;x
EVTNAME600004;The Way Of Metternich!;;;x
EVTDESC600004;Our Minister of Forgeign Affairs paved the way for the return of Austria as a great power!;;;x
EVTNAME600005;Austria demand Tirol!;;;x
EVTDESC600005;After the Austrian defeat at Wagram, we were offered the province of Tirol by Napoleon. Now, the powerful Austria wants it back. Are we going to cede or are we going to fight for it ?;;;x
EVTNAME600006;Liberation WAR!;;;x
EVTDESC600006;The War for the Independace of Greece states has been fought for over a year, the population is supporting us and we can only hope that the!;;;x
EVTNAME600007;We Lost Greece;;;x
EVTDESC600007;We haven't been able to secure Greece and have let the land slipped to their hands. Shame is upon us.;;;x
EVTNAME600008;We Lost Serbia;;;x
EVTDESC600008;We haven't been able to secure Serbia and have let the land slipped to their hands. Shame is upon us.;;;x
EVTNAME600009;We Lost Montenegro;;;x
EVTDESC600009;We haven't been able to secure Montenegro and have let the land slipped to their hands. Shame is upon us.;;;x
EVTNAME600010;We Lost Bosnia;;;x
EVTDESC600010;We haven't been able to secure Bosnia and have let the land slipped to their hands. Shame is upon us.;;;x
EVTNAME600011;We have Won against the Balkans Revolts!;;;x
EVTDESC600011;We have resisted the Balkans revolts, a true achievement for our nation. It's time to recover and move forward!;;;x
EVTNAME600012;We have won!;;;x
EVTDESC600012;After years or war, we are finally free from the Ottomans and can choose our own path!;;;x
EVTNAME600013;Who will succeed Napoleon?;;;x
EVTDESC600013;Napoleon's great life ended on the 8th of April, 1835. He made France into an European superpower and his shadow dominated Europe for 30 years! But he died without sons and we, the Emperor's council, have to choose a new heir. Who can possibly be worthy of being the next Emperor?!;;;x
EVTNAME600015;The Spanish revolt;;;x
EVTDESC600015;With the annexation of Spain, the Spaniards are ready to rise up against our rule again.;;;x
EVTNAME600016;The German revolt;;;x
EVTDESC600016;With the annexation of Westphalia, the German are ready to rise up against our rule again.;;;x
EVTNAME600022;Political decision!;;;x
EVTDESC600022;We have to choose our political view for the next 10 years!;;;x
EVTNAME600023;The Emperor's Council influence grows!;;;x
EVTDESC600023;As the emperor Napoleon fell into madness, his best generals and wife decided to create a presonnal council to make sure the country was running. With time, it grew in power and now the emperor's political power is a shadow of what it was. Keeping this council temporarily will help us administrate our country, but we should be careful of their ambitions - who knows what they might be planning?;;;x
EVTNAME600024;Council Coup!;;;x
EVTDESC600024;The Council have become the real administration behind France and now wants to use that power to overthrow the emperor and make a new republic!;;;x
