Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
land_reform_two;Title and Deed system;;;;Sistema de título y escritura;;;;;;;;x
land_reform_two_desc;The state guarantees private property and land development rights;;;;El Estado garantiza la propiedad privada y los derechos de urbanización;;;;;;;;x
admin_reform_two;Foreign-Trained Civil Service;;;;Servicio Civil Capacitado en el Extranjero;;;;;;;;x
admin_reform_two_desc;The national administration is now run by western-educated bureaucrats;;;;La administración nacional ahora está dirigida por burócratas con educación occidental;;;;;;;;x
education_reform_two;Universities;;;;Yniversidades;;;;;;;;x
education_reform_two_desc;Western-style schools of higher learning are established;;;;Se establecen escuelas de educación superior de estilo occidental.;;;;;;;;x
transport_improv_two;Advanced railroads;;;;Ferrocarriles avanzados;;;;;;;;x
transport_improv_two_desc;Our transportation system can move people and goods as never before!;;;;?Nuestro sistema de transporte puede mover personas y mercancías como nunca antes!;;;;;;;;x
no_western_science;Traditional learning;;;;Aprendizaje tradicional;;;;;;;;x
no_western_science_desc;We rely on the old ideas;;;;Confiamos en las viejas ideas.;;;;;;;;x
yes_western_science;Basic Western learning;;;;Aprendizaje occidental básico;;;;;;;;x
yes_western_science_desc;We send our students to learn foreign ideas in science from the West;;;;Enviamos a nuestros estudiantes a aprender ideas extranjeras en ciencia de Occidente.;;;;;;;;x
western_science_two;Scientific Research;;;;Investigación científica;;;;;;;;x
western_science_two_desc;We promote research into scientific and economic theories in our schools;;;;Promovemos la investigación de teorías científicas y económicas en nuestras escuelas;;;;;;;;x
foreign_training_two;Foreign Tactics;;;;Tácticas extranjeras;;;;;;;;x
foreign_training_two_desc;Our troops learn western military tactics before going into battle;;;;Nuestras tropas aprenden tácticas militares occidentales antes de entrar en batalla;;;;;;;;x
foreign_weapons_two;Advanced foreign weapons;;;;Armas extranjeras avanzadas;;;;;;;;x
foreign_weapons_two_desc;Our BOOMSTICKS are better!;;;;?Nuestros BOOMSTICKS son mejores!;;;;;;;;x
military_constructions_two;Modern Constructions;;;;Construcciones Modernas;;;;;;;;x
military_constructions_two_desc;Our forts are modern and more defensible ;;;;Nuestros fuertes son modernos y más defendibles.;;;;;;;;x
foreign_officers_two;Domestic officer training;;;;Entrenamiento de oficiales domésticos;;;;;;;;x
foreign_officers_two_desc;Our own officers will now lead our troops!;;;;?Nuestros propios oficiales ahora liderarán nuestras tropas!;;;;;;;;x
army_schools_two;Military academies;;;;Academias militares;;;;;;;;x
army_schools_two_desc;Our offcers are instructed in advanced military tactics before leading men into battle;;;;Nuestros oficiales reciben instrucción en tácticas militares avanzadas antes de dirigir a los hombres a la batalla.;;;;;;;;x
foreign_naval_officers_two;Domestic naval officers;;;;Oficiales navales nacionales;;;;;;;;x
foreign_naval_officers_two_desc;Our captains lead without foreign advisors;;;;Nuestros capitanes lideran sin asesores extranjeros;;;;;;;;x
naval_schools_two;Naval academies;;;;Academias navales;;;;;;;;x
naval_schools_two_desc;Our captains are instructed in advanced naval tactics before leading men into battle;;;;Nuestros capitanes reciben instrucción en tácticas navales avanzadas antes de dirigir a los hombres a la batalla.;;;;;;;;x
foreign_navies_two;Advanced warships;;;;Buques de guerra avanzados;;;;;;;;x
foreign_navies_two_desc;We can construct our own modern warships;;;;Podemos construir nuestros propios buques de guerra modernos.;;;;;;;;x
ai_boost;AI Boost;;;;Impulso de IA;;;;;;;;x
fairer_taxation;Taxation Relief;;;;Desgravación fiscal;;;;;;;;x
cotton_gin;Cotton Gin;;;;Desmotadora de algodón;;;;;;;;x
cotton_gin_desc;Eli Whitney invented the first mechanical machine for separating cotton fibres from their seeds in 1793. This dramatically increased the productivity of cotton plantations.;;;;Eli Whitney inventó la primera máquina mecánica para separar las fibras de algodón de sus semillas en 1793. Esto aumentó drásticamente la productividad de las plantaciones de algodón.;;;;;;;;x
cattle_trucks;Cattle Trucks;;;;Camiones de ganado;;;;;;;;x
cattle_trucks_desc;The introduction of automobiles has also had one ancillary benefit: the development of cattle trucks, large enough to hold multiple cattle at once and speed up the process of delivering livestock for slaughter.;;;;La introducción de los automóviles también ha tenido un beneficio secundario: el desarrollo de camiones para ganado, lo suficientemente grandes como para llevar varios animales a la vez y acelerar el proceso de entrega del ganado para el matadero.;;;;;;;;x
cattle_breeding_program;Cattle Breeding Program;;;;Programa de Cría de Ganado;;;;;;;;x
cattle_breeding_program_desc;New methods of breeding livestock have led to a boom in cattle and horse populations, and permitted the average rancher far more control over the quality of his stock.;;;;Los nuevos métodos de cría de ganado han llevado a un auge en las poblaciones de ganado y caballos, y le han permitido al ganadero promedio tener mucho más control sobre la calidad de su ganado.;;;;;;;;x
accelerated_vulcanization;Accelerated Vulcanization;;;;Vulcanización acelerada;;;;;;;;x
accelerated_vulcanization_desc;It was discovered in the early Twentieth Century that the addition of the organic compound aniline produced an accelerating effect. The active zinc salts in the aniline react strongly with the zinc oxide present in sulfur-vulcanized rubber to decrease the cure time necessary. Other compounds were later used that provided even faster cure times.;;;;Se descubrió a principios del siglo XX que la adición del compuesto orgánico anilina producía un efecto acelerador. Las sales de zinc activas en la anilina reaccionan fuertemente con el óxido de zinc presente en el caucho vulcanizado con azufre para disminuir el tiempo de curado necesario. Posteriormente se utilizaron otros compuestos que proporcionaron tiempos de curado aún más rápidos.;;;;;;;;x
silk_waste_spinning;Silk Waste Spinning;;;;Hilatura de residuos de seda;;;;;;;;x
silk_waste_spinning_desc;This was a cumulative set of processes developed throughout the 19th century to process previously unusable silk. Sources of waste silk included the gummy silk fibres left over the predominant Silk Throwing Process and from the cocoons of the mulberry worms themselves. Previously this 'waste silk' had accounted for nearly 50% of raw silk production, and now it could be utilized too.;;;;Este fue un conjunto acumulativo de procesos desarrollados a lo largo del siglo XIX para procesar seda previamente inutilizable. Las fuentes de seda de desecho incluían las fibras gomosas de seda sobrantes del proceso predominante de lanzamiento de seda y de los capullos de los propios gusanos de morera. Anteriormente, esta 'seda de desecho' representaba casi el 50% de la producción de seda cruda, y ahora también podría utilizarse.;;;;;;;;x
inclosure;Inclosure;;;;Recinto;;;;;;;;x
inclosure_desc;Inclosure is the process which was used in order to end some traditional rights, such as mowing meadows for hay, or grazing livestock on land which is owned by another person. Under inclosure, such land is fenced and deeded or entitled to one or more owners. By the 19th century, unenclosed commons had become largely restricted to rough pasture in mountainous areas and in relatively small parts of the lowlands.;;;;El cercado es el proceso que se utilizó para poner fin a algunos derechos tradicionales, como la siega de prados para heno o el pastoreo de ganado en tierras que son propiedad de otra persona. Bajo cercamiento, dicha tierra está cercada y escriturada o con derecho a uno o más propietarios. En el siglo XIX, los terrenos comunales no cerrados se habían restringido en gran medida a pastos ásperos en áreas monta?osas y en partes relativamente peque?as de las tierras bajas.;;;;;;;;x
regenerative_forestry;Regenerative Forestry;;;;Silvicultura regenerativa;;;;;;;;x
regenerative_forestry_desc;New methods of harvesting our nation's forests must be undertaken, in order to ensure that these resources remain sustainable as techniques for harvesting lumber become more advanced.;;;;Se deben emprender nuevos métodos de cosecha de los bosques de nuestra nación, para garantizar que estos recursos sigan siendo sostenibles a medida que las técnicas de cosecha de madera se vuelven más avanzadas.;;;;;;;;x
spinning_jenny;Spinning Jenny;;;;Máquina de hilar;;;;;;;;x
spinning_jenny_desc;The spinning jenny is a multi-tool spinning frame. The device reduced the amount of work needed to produce yarn, with a worker able to work eight or more spools at once. It advanced the efficiency of the textile industry a great deal, and was one of the driving forces behind the Industrial Revolution in many textile-based countries.;;;;El spinning jenny es un marco giratorio multiherramienta. El dispositivo redujo la cantidad de trabajo necesario para producir hilo, con un trabajador capaz de trabajar ocho o más carretes a la vez. Avanzó mucho en la eficiencia de la industria textil y fue una de las fuerzas impulsoras detrás de la Revolución Industrial en muchos países basados ??en textiles.;;;;;;;;x
seafood_packing;Seafood Packing;;;;Embalaje de mariscos;;;;;;;;x
seafood_packing_desc;The ability to preserve seafood was the first step in permitting such food to reach parts of the country that did not live by the coast, thereby assisting in the growth of large urban centers.;;;;La capacidad de conservar los mariscos fue el primer paso para permitir que dichos alimentos llegaran a partes del país que no vivían en la costa, lo que ayudó al crecimiento de los grandes centros urbanos.;;;;;;;;x
combine_harvesters;Powered Combine;;;;Cosechadora motorizada;;;;;;;;x
combine_harvesters_desc;With George Stockton Berry's use of a steam engine in a combine harvester, the potential harvest of a single worker increased dramatically.;;;;Con el uso de una máquina de vapor en una cosechadora por parte de George Stockton Berry, la cosecha potencial de un solo trabajador aumentó dramáticamente.;;;;;;;;x
mechanized_farming_equipment;Mechanized Farming Equipment;;;;Equipo agrícola mecanizado;;;;;;;;x
