Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
oceanic;Pacific Islander;;;;;;;;;;;;;
levantine;Greco-Caucasian;;;;;;;;;;;;;
turko_semitic;Turkic;;;;;;;;;;;;;
polish_culture_group;Western Slavic;;;;;;;;;;;;;
jefferson_method_desc;The Jefferson Method is a highest averages method for allocating seats, and is thus a type of party-list proportional representation. Proportional representation systems aim to allocate seats to parties approximately in proportion to the number of votes received. For example, if a party wins one-third of the votes then it should gain about one-third of the seats. In general, exact proportionality is not possible because these divisions produce fractional numbers of seats. As a result, several methods have been devised which ensure that the parties' seat allocations, which are of course whole numbers, are as proportional as possible. In comparison with the Sainte-Lague method, §Ythe Jefferson Method slightly favours large parties and coalitions over scattered small parties§W.;;;;;;;;;;;;;
precious_goods;Precious Goods;;;;;;;;;;;;;
precious_goods_RGO_SIZE;Precious Goods Market Size;;;;;;;;;;;;;
PARTY_LOYALTY_EFFECT_DESC;Loyalty towards §Y$PARTY$§W in §Y$PROV$§W will be changed by §Y$VALUE$§W.\n;;;;;;;;;;;;;
MODIFY_RELATION_EFFECT;§Y$SOURCE$?'s relation with §Y$TARGET$? changed with a value of $VALUE$.\n;;;;;;;;;;;;;
IS_NOT_ACCEPTED_CULTURE;Is NOT an accepted culture.;;;;;;;;;;;;;
canned_food_factory;Cannery;;;;;;;;;;;;;
ALL_CORE_PROVINCE_THAT;For all core provinces \n;;;;;;;;;;;;;
TOPBAR_POPULATION;Our adult male population is $CURR$. Our adult male population has changed by $CHANGE$ in the last §Y$DAYS$? days.;;;;;;;;;;;;;
precious_metal;Precious Metals;;;;;;;;;;;;;
precious_metal_RGO_SIZE;Precious Metals Mine Size;;;;;;;;;;;;;
cattle;Livestock;;;;;;;;;;;;;
cattle_RGO_SIZE;Livestock Ranch Size;;;;;;;;;;;;;
school_reforms;School System;;;;;;;;;;;;;
RULE_RICH_ONLY;\nRich Only;;;;;;;;;;;;;
RULE_SAME_AS_RULING_PARTY;\nSame As Ruling Party;;;;;;;;;;;;;
RULE_STATE_VOTE;\nState Vote;;;;;;;;;;;;;
RULE_POPULATION_VOTE;\nPopulation Vote;;;;;;;;;;;;;
ISSUE_MOVE_EFFECT;§Y$PERCENTAGE$%§W of pops move from §YFROM§W to §YTO§W\n;;;;;;;;;;;;;
encourage_agriculture;Encourage Agriculture;;;;;;;;;;;;;
encourage_mining;Encourage Mining;;;;;;;;;;;;;
encourage_business;Encourage Business;;;;;;;;;;;;;
militancy_appeasement;Colonial Appeasement;;;;;;;;;;;;;
consciousness_appeasement;Colonial Propaganda;;;;;;;;;;;;;
native_enslavement;Native Enslavement;;;;;;;;;;;;;
NO_RAIL_YET;We can not encourage railroad building when we do not know how to build them yet.;;;;;;;;;;;;;
CAN_NOT_BUILD_FACTORY;Can not build factory.\n;;;;;;;;;;;;;
CAN_BUILD_FACTORY;Can build factory.\n;;;;;;;;;;;;;
no_safety;No Safety Regulations;;;;;;;;;;;;;
no_safety_desc;Death or grievous injuries in the workplace isn't a rare occurrence as employers don't need to think about safety, only profit. The government has no governing legislation covering safety in the workplace and workers rarely manage to sue their employers over accidents.;;;;;;;;;;;;;
trinket_safety;Minimal Safety Regulations;;;;;;;;;;;;;
trinket_safety_desc;Factories are required to provide proper ventilation and a regularly cleaned workspace. Workers can sue their employers in case of an accident but they rarely win any compensation. When they do the amount is usually negligible. Safety regulations only applies to factories.;;;;;;;;;;;;;
low_safety;Limited Safety Regulations;;;;;;;;;;;;;
low_safety_desc;Safety regulations extend to the agricultural, civil construction and mining sectors. In mines, the use of safety lamps is mandatory. Employees suing their employers still have a hard time winning any significant compensation, but the government offers help to the affected families, albeit the amount given is barely enough to scrap an existence.;;;;;;;;;;;;;
acceptable_safety;Regular Safety Regulations;;;;;;;;;;;;;
acceptable_safety_desc;Safety regulations extend to all workplaces in our country. Government agencies label agricultural chemicals for toxicity and potential health impacts, mining and construction workers are required to use protection gear and hand brakes operated by workers riding on top of train cars were abolished. Employees have their rights guaranteed and getting compensation for accidents that happen due to employer negligence is a common occurrence. Government help to the victims is reasonable.;;;;;;;;;;;;;
good_safety;Good Safety Regulations;;;;;;;;;;;;;
good_safety_desc;Safety regulations extend to all workplaces in our country and cover potential psychological problems due to extended isolation and even minor injuries. Employers are obliged to supply workers with protection equipment and safety training. Warnings and reminders are spread through the workplace to guarantee workers remember their safety instructions. Getting compensation for employer negligence in the workplace is easy and the government supports victims with a good amount of money.;;;;;;;;;;;;;
no_work_hour_limit_desc;No limit on working hours per day. Workers have virtually no rights and employers do as they please with their workers. Conditions in some workplaces are analogue to slavery.;;;;;;;;;;;;;
fourteen_hours_desc;Working hours legislation aims to not only reduce the workload, but it also gives the right to a minimum number of holidays each year, restricts excessive night work and establishes the right to vacations, all this without a reduction of the workers' salaries. While wages grow and working hours decline, the people have more time for leisure and for consuming, driving demand up. At fourteen hours per day, most workers have barely any time for their families.;;;;;;;;;;;;;
twelve_hours_desc;Working hours legislation aims to not only reduce the workload, but it also gives the right to a minimum number of holidays each year, restricts excessive night work and establishes the right to vacations, all this without a reduction of the workers' salaries. While wages grow and working hours decline, the people have more time for leisure and for consuming, driving demand up. At twelve hours per day, workers are starting to have time to spend with their families and are quickly becoming common visitors of taverns and cabarets after work.;;;;;;;;;;;;;
ten_hours_desc;Working hours legislation aims to not only reduce the workload, but it also gives the right to a minimum number of holidays each year, restricts excessive night work and establishes the right to vacations, all this without a reduction of the workers' salaries. While wages grow and working hours decline, the people have more time for leisure and for consuming, driving demand up. Weekends without work are a common occurrence and white-collar workers have a system of annual vacations.;;;;;;;;;;;;;
eight_hours_desc;Working hours legislation aims to not only reduce the workload, but it also gives the right to a minimum number of holidays each year, restricts excessive night work and establishes the right to vacations, all this without a reduction of the workers' salaries. While wages grow and working hours decline, the people have more time for leisure and for consuming, driving demand up. At eight hours per day, almost all workers have the right to weekends off and annual vacations. Free time for leisure is at an all time high and the entertainment industry is in the middle of a boom. All over our country resorts emerge thanks to cheap hotels and inexpensive railway fares, widespread banking holidays and we watch the fading of many religious prohibitions against secular activities on Sundays.;;;;;;;;;;;;;
work_hours;Max. Work Hours;;;;;;;;;;;;;
movement_fourteen_hours;Maximum Work Hours Movement;;;;;;;;;;;;;
movement_twelve_hours;Maximum Work Hours Movement;;;;;;;;;;;;;
movement_ten_hours;Maximum Work Hours Movement;;;;;;;;;;;;;
movement_eight_hours;Maximum Work Hours Movement;;;;;;;;;;;;;
POLITICS_SUPPORT_REFORM;$IDEOLOGY$: $POSITIVE$% votes yes, $NEGATIVE$% votes no.($PERCENT$% of Upper House)\n;;;;;;;;;;;;;
POLITICS_IN_FAVOR_TOOLTIP;($PERCENT$% of the Upper House in favor of reforms);;;;;;;;;;;;;
