Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PRO_REACTIONARY;PRO-REACTIONARY ;;;;PRO-REACCIONARIO;;;;;;;;x
PRO_SOCIALIST;PRO-SOCIALIST ;;;;PRO-SOCIALISTA;;;;;;;;x
PRO_FASCIST;PRO-FASCIST ;;;;FASCISTA;;;;;;;;x
PRO_LIBERAL;LIBERAL ;;;;LIBERAL;;;;;;;;x
PRO_COMMIES;PRO-COMMUNIST ;;;;PRO-COMUNISTA;;;;;;;;x
EVTDESC31100_NEWS_LONG;A $COUNTRY_ADJ$ archaeologist unearthed the remains of the lost city of Troy in Anatolia. This discovery led to an explosion of talent in archeology and captured the imagination of millions. When he excavated the hills in Hisarlik, he uncovered a number of ancient cities, dating back from the Bronze Age to the Roman times. His finds at the site were named Priam's Treasure and acquired by $CAPITAL$ museums. His archaeological effort was inspired by a British diplomat, Frank Calvert, who spent over six decades conducting field work in the area.;;;;Un arqueólogo de $COUNTRY_ADJ$ desenterró los restos de la ciudad perdida de Troya en Anatolia. Este descubrimiento condujo a una explosión de talento en arqueología y capturó la imaginación de millones. Cuando excavó las colinas en Hisarlik, descubrió una serie de ciudades antiguas, que datan desde la Edad del Bronce hasta la época romana. Sus hallazgos en el sitio fueron nombrados Tesoro de Príamo y adquiridos por los museos $CAPITAL$. Su esfuerzo arqueológico se inspiró en un diplomático británico, Frank Calvert, quien pasó más de seis décadas realizando trabajo de campo en el área.;;;;;;;;x
EVTDESC31100_NEWS_MEDIUM;A $COUNTRY_ADJ$ archaeologist unearthed the remains of the lost city of Troy in Anatolia. This discovery led to an explosion of talent in archeology and captured the imagination of millions. His finds at the site were named Priam's Treasure and acquired by $CAPITAL$ museums.;;;;Un arqueólogo de $COUNTRY_ADJ$ desenterró los restos de la ciudad perdida de Troya en Anatolia. Este descubrimiento condujo a una explosión de talento en arqueología y capturó la imaginación de millones. Sus hallazgos en el sitio fueron nombrados Tesoro de Príamo y adquiridos por los museos $CAPITAL$.;;;;;;;;x
EVTDESC31100_NEWS_SHORT;A $COUNTRY_ADJ$ archaeologist unearthed the remains of the lost city of Troy in Anatolia. This discovery led to an explosion in archeology and captured the imagination of millions.;;;;Un arqueólogo de $COUNTRY_ADJ$ desenterró los restos de la ciudad perdida de Troya en Anatolia. Este descubrimiento condujo a una explosión en la arqueología y capturó la imaginación de millones.;;;;;;;;x
EVTNAME13201_NEWS_TITLE;$COUNTRY_ADJ$ Mission Under Siege!;;;;?Misión de $COUNTRY_ADJ$ bajo asedio!;;;;;;;;x
EVTDESC13201_NEWS_LONG;After years of resistance against $COUNTRY_ADJ$ influence in their country, the $FROMCOUNTRY_ADJ$ ruling elites have thrown the $COUNTRY_ADJ$ ambassador out of $FROMCOUNTRY$, claiming that the $COUNTRY_ADJ$ barbarians behave unacceptably and in contrary to $FROMCOUNTRY_ADJ$ traditions. This affair is developing into an enormous loss of international face, one which many in the $COUNTRY_ADJ$ government believe can only be avoided through a formal declaration of war against $FROMCOUNTRY$.;;;;Después de a?os de resistencia contra la influencia de $COUNTRY_ADJ$ en su país, las élites gobernantes de $FROMCOUNTRY_ADJ$ han expulsado al embajador de $COUNTRY_ADJ$ de $FROMCOUNTRY$, alegando que los bárbaros de $COUNTRY_ADJ$ se comportan de manera inaceptable y contraria a las tradiciones de $FROMCOUNTRY_ADJ$. Este asunto se está convirtiendo en una enorme pérdida de imagen internacional, que muchos en el gobierno de $COUNTRY_ADJ$ creen que solo puede evitarse mediante una declaración formal de guerra contra $FROMCOUNTRY$.;;;;;;;;x
EVTDESC13201_NEWS_MEDIUM;After years of resistance against $COUNTRY_ADJ$ influence in their country, the $FROMCOUNTRY_ADJ$ ruling elites have thrown out the $COUNTRY_ADJ$ ambassador, claiming that the foreign barbarians behave unacceptably and in contrary to their traditions.;;;;Después de a?os de resistencia contra la influencia de $COUNTRY_ADJ$ en su país, las élites gobernantes de $FROMCOUNTRY_ADJ$ han expulsado al embajador de $COUNTRY_ADJ$, alegando que los bárbaros extranjeros se comportan de manera inaceptable y contraria a sus tradiciones.;;;;;;;;x
EVTDESC13201_NEWS_SHORT;After years of resistance against $COUNTRY_ADJ$ influence in their country, the $FROMCOUNTRY_ADJ$ ruling elites have thrown out the $COUNTRY_ADJ$ ambassador.;;;;Después de a?os de resistencia contra la influencia de $COUNTRY_ADJ$ en su país, las élites gobernantes de $FROMCOUNTRY_ADJ$ han expulsado al embajador de $COUNTRY_ADJ$.;;;;;;;;x
