;;;x
ROM_reactionary;Partidul National Roman;;;x
ROM_reactionary_2;Partidul Nationalist-Democrat;;;x
ROM_reactionary_3;Partidul Poporului;;;x
ROM_conservative;Partidul Conservator;;;x
ROM_conservative_2;Partidul Taranesc;;;x
ROM_conservative_3;Partidul National Taranesc;;;x
ROM_liberal;Fractionistii;;;x
ROM_liberal_2;Partidul National Liberal;;;x
ROM_anarcho_liberal;Partidul din Drepturile Omulu;;;x
ROM_socialist;Partidul Social-Democrat;;;x
ROM_communist;Partidul Comunist;;;x
ROM_fascist;Garda de Fier;;;x
POR_fascist;Movimento Nacional-Sindicalista;;;x
IRE_fascist;Chungus Lovers;;;x
IRE_communist;Communist Party of Ireland;;;x
IRE_conservative;Irish Conservative Party;;;x
AST_fascist;New Guard;;;x
SGF_ADJ;South German;;;x
USA_conservative_2;Bourbon Democrats;;;x
USA_conservative_4;Democrats;;;x
YUG_fascist;ZBOR;;;x
YUG_ADJ;Yugoslav;;;x
AUS_fascist;Vaterlandische Front;;;x
SWI_liberal;Freisinnig-Demokratische Partei;;;x
GCO_communist;Partido Communista;;;x
GCO_fascist;Partido Fascista;;;x
MNP;Manipur;;;x
MNP_ADJ;Manipuri;;;x
GEO_conservative;Demokratiuli Modzraoba;;;x
GEO_liberal;Sakartvelos Respublikuri;;;x
GEO_reactionary;Natsionaluri Modzraoba;;;x
GEO_anarcho_liberal;Sakartvelos Gza;;;x
GEO_socialist;Sakartvelos Leiboristuli;;;x
GEO_communist;Sakartvelos Komunisturi;;;x
GEO_fascist;Erovnuli Sotsialisturi;;;x
UKR_conservative;Ukrainian Democratic Agrarian Party;;;x
UKR_liberal;Ukrainian Democratic Party;;;x
UKR_reactionary;Congress of Landowners;;;x
UKR_anarcho_liberal;Ukrainian Radical Party;;;x
UKR_socialist;Ukrainian Social Democratic Labour Party;;;x
UKR_communist;Ukrainian Communist Party;;;x
UKR_fascist;Organization of Ukrainian Nationalists;;;x
TUN;Tunisia;;;x
TUN_absolute_monarchy;Tunis;;;x
TUN_prussian_constitutionalism;Tunis;;;x
ALB_communist;Partia e Punes e Shqiperise;;;x
ALB_fascist;Partia Fashiste e Shqiperise;;;x
ALB_conservative;Levizja Legalitetit;;;x
AUS_communist;Kommunistische Partei Osterreichs;;;x
BEL_communist;Parti Communiste de Belgique;;;x
BUL_socialist;BRSDP;;;x
BUL_liberal;Balgarski Zemedelski Naroden Sayuz;;;x
BUL_anarcho_liberal;Radoslavists;;;x
