Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
infantry_offensive;Offensive Infantry;;;;Infantería ofensiva;;;;;;;;;
infantry_defensive;Defensive Infantry;;;;Infantería defensiva;;;;;;;;;
artillery_offensive;Offensive Artillery;;;;Artillería ofensiva;;;;;;;;;
artillery_defensive;Defensive Artillery;;;;Artillería defensiva;;;;;;;;;
generic_conservative;Generic Conservative;;;;Conservador generico;;;;;;;;;
generic_reactionary;Generic Reactionary;;;;Reaccionario generico;;;;;;;;;
generic_liberal;Generic Liberal;;;;Liberal generico;;;;;;;;;
generic_socialist;Generic Socialist;;;;Socialista generico;;;;;;;;;
generic_communist;Generic Communist;;;;Comunista generico;;;;;;;;;
generic_fascist;Generic Fascist;;;;Fascista generico;;;;;;;;;
craftsmen_fix_cooldown;Craftsmen Fix Cooldown;;;;Esto hizo que los trabajadores se convirtieran en artesanos.;;;;;;;;;
craftsmen_fix_cooldown_desc;Craftsmen Fix Cooldown is 10 years.;;;;Se puede tomar esta decisión cada 10 anos;;;;;;;;;
bureaucrats_fix_cooldown;Non-Accepted Bureaucrats Fix Cooldown;;;; Convertir a los burócratas no aceptados en artesanos;;;;;;;;;
bureaucrats_fix_cooldown_desc;Non-Accepted Bureaucrats Fix Cooldown is 10 years.;;;;Convertir a los burócratas no aceptados en artesanos. Se puede tomar esta decisión cada 10 anos;;;x ;;;;;;
EVTNAME9999901;Craftsmen Exploit Salvage;;;;Los artesanos explotan el salvamento;;;;;;;;;
EVTDESC9999901;This event converts all non-core/non-accepted craftsmen on your cores into artisans.;;;;Este evento convierte en artesanos a todos los artesanos no aceptados en tus núcleos.;;;;;;;;;
EVT2600OPTA;Integrate Them.;;;;Integralos.;;;;;;;;;
EVT2600OPTB;Reject Them.;;;;Recházalos.;;;;;;;;;
EVT2605OPTA;Hurrah!;;;;!Hurra!;;;;;;;;;
craftsmen_fix_title;Craftsmen Salvage Decision (10 year cooldown);;;;Decisión para cambiar a los trabajadores no aceptados.;;;;;;;;;
craftsmen_fix_desc;This decision is intended to salvage your country after it has been craftsmen hijacked. It will revert all non-core/non-accepted craftsmen on your cores to artisans so that your core craftsmen will start working. (Think South Germans in Venetia hijacking.) BE CAREFUL OF USE.;;;;Esta decisión pretende salvar tu país despues de que haya sido secuestrado por artesanos. Revertirá a todos los artesanos no primeras/no aceptados en tus núcleos a artesanos para que tus artesanos centrales empiecen a trabajar. (Piensa en los alemanes del sur en el secuestro de Venecia).  TENGA CUIDADO CON EL USO.;;;;;;;;;
bureaucrats_fix_title;Non-Accepted Bureaucrats Decision (10 year cooldown);;;;Decision sobre los burócratas no aceptados.;;;;;;;;;
bureaucrats_fix_desc;This decision is intended to convert non-accepted Bureaucrats into Artisans, in both states and colonies, so they stop getting fat off of state admin funding.;;;;Esta decisión pretende convertir a los burócratas no aceptados en artesanos, tanto en los estados como en las colonias, para que dejen de engordar con los fondos de la administración estatal.;;;;;;;;;
france_sphere_jap_title;Ask The French Empire for Support;;;;Pida apoyo al Imperio frances;;;;;;;;;
france_sphere_jap_desc;While France rules in Europe, we can rule in Asia, making an alliance between our two nations a logical decision. They will understand then that we require her resources to prosper in our time of need. (Decision only available in 1836);;;;Mientras Francia gobierna en Europa, nosotros podemos gobernar en Asia, por lo que una alianza entre nuestras dos naciones es una decisión lógica. Comprenderán entonces que necesitamos sus recursos para prosperar en nuestros tiempos de necesidad. (Decisión sólo disponible en 1836);;;;;;;;;
usa_sphere_jap_title;Ask the United States for Support;;;;Pedir apoyo a Estados Unidos;;;;;;;;;
usa_sphere_jap_desc;Clearly we cannot trust other interests in Asia, but we can't fuel this machine on good will. There appears to be a budding nation across the Pacific... they may be able to provide us with markets in our time of need. (Decision only available in 1836);;;;Está claro que no podemos confiar en otros intereses en Asia, pero no podemos alimentar esta máquina con buena voluntad. Parece que hay una nación en ciernes al otro lado del Pacífico... puede que nos proporcionen mercados en nuestros momentos de necesidad. (Decisión sólo disponible en 1836);;;;;;;;;
rus_sphere_jap_title;Ask Russian Empire for Support;;;;Pida apoyo al Imperio Ruso;;;;;;;;;
rus_sphere_jap_desc;If our interests are in China, then surely allying ourselves with the next best thing to overcome her would be the right course of action. (Decision only available in 1836);;;;Si nuestros intereses están en China, entonces seguramente aliarnos con la siguiente mejor opción para vencerla sería el curso de acción correcto. (Decisión sólo disponible en 1836);;;;;;;;;
change_tech_school_on_title;Change Tech School (Hidden);;;;Cambiar la escuela tecnica (oculta);;;;;;;;;
change_tech_school_on_desc;Show Tech School Decisions;;;;Mostrar las decisiones de la escuela tecnica;;;;;;;;;
change_tech_school_off_title;Change Tech School (Showing);;;;Cambiar la escuela tecnica (mostrar);;;;;;;;;
change_tech_school_off_desc;Hide Tech School Decisions;;;;Ocultar las decisiones de la escuela tecnica;;;;;;;;;
player_alliances_title;Ally All Player Nations;;;;Ally Todos los jugadores de las naciones;;;;;;;;;
player_alliances_desc;Automatically allies all player nations. DO NOT SPAM.;;;;Alía automáticamente todas las naciones de los jugadores. NO HACER SPAM.;;;;;;;;;
assert_on_steppe_title;Assert Ourselves in Central Asia;;;;Afirmarnos en Asia Central;;;;;;;;;
